State,Season,Temperature,Rainfall,N,P,K,PH,Crop
Meghalaya,Kharif,29.0,2100.0,65,34,50,5.6,Groundnut
Meghalaya,Kharif,28.5,2050.0,55,32,42,5.6,Jute
Meghalaya,Rabi,22.0,190.0,80,35,55,5.9,Wheat
Meghalaya,Rabi,21.5,180.0,72,32,50,5.8,Barley
Meghalaya,Rabi,21.0,170.0,60,28,45,5.7,Mustard
Meghalaya,Rabi,22.5,175.0,65,30,48,5.8,Gram
Meghalaya,Rabi,21.0,160.0,55,26,42,5.7,Peas
Meghalaya,Zaid,28.5,95.0,70,32,52,5.9,Watermelon
Meghalaya,Zaid,29.0,90.0,68,33,51,5.8,Muskmelon
Meghalaya,Zaid,28.0,85.0,65,30,50,5.8,Cucumber
Meghalaya,Zaid,29.5,93.0,72,34,54,5.9,Tomato
Sikkim,Kharif,28.5,1800.0,90,40,60,5.5,Rice
Sikkim,Kharif,27.5,1750.0,85,38,58,5.4,Maize
Sikkim,Kharif,27.0,1700.0,65,34,50,5.3,Groundnut
Sikkim,Kharif,26.5,1650.0,60,30,46,5.2,Millet
Sikkim,Rabi,21.5,180.0,80,35,55,5.6,Wheat
Sikkim,Rabi,21.0,170.0,72,32,50,5.5,Barley
Sikkim,Rabi,20.5,160.0,60,28,45,5.4,Mustard
Sikkim,Rabi,22.0,175.0,65,30,48,5.5,Gram
Sikkim,Rabi,21.0,160.0,55,26,42,5.4,Peas
Sikkim,Zaid,27.5,95.0,70,32,52,5.6,Watermelon
Sikkim,Zaid,28.0,90.0,68,33,51,5.5,Muskmelon
Sikkim,Zaid,27.0,85.0,65,30,50,5.5,Cucumber
Sikkim,Zaid,28.5,93.0,72,34,54,5.6,Tomato
Chandigarh,Kharif,32.0,780.0,90,40,60,6.8,Maize
Chandigarh,Kharif,33.0,800.0,88,42,62,6.7,Rice
Chandigarh,Kharif,32.5,790.0,75,36,55,6.6,Cotton
Chandigarh,Rabi,22.0,190.0,80,35,55,6.5,Wheat
Chandigarh,Rabi,21.5,180.0,72,32,50,6.4,Barley
Chandigarh,Rabi,21.0,170.0,60,28,45,6.3,Mustard
Chandigarh,Rabi,22.5,175.0,65,30,48,6.4,Gram
Chandigarh,Zaid,28.5,95.0,70,32,52,6.6,Watermelon
Chandigarh,Zaid,29.0,90.0,68,33,51,6.5,Muskmelon
Chandigarh,Zaid,28.0,85.0,65,30,50,6.5,Cucumber
Chandigarh,Zaid,29.5,93.0,72,34,54,6.6,Tomato
Dadra & Nagar Haveli and Daman & Diu,Kharif,31.5,1800.0,90,40,60,6.5,Rice
Dadra & Nagar Haveli and Daman & Diu,Kharif,30.5,1750.0,65,34,50,6.4,Groundnut
Dadra & Nagar Haveli and Daman & Diu,Kharif,32.0,1850.0,75,36,55,6.6,Cotton
Dadra & Nagar Haveli and Daman & Diu,Rabi,22.0,190.0,80,35,55,6.5,Wheat
Dadra & Nagar Haveli and Daman & Diu,Rabi,21.0,170.0,65,30,48,6.4,Gram
Dadra & Nagar Haveli and Daman & Diu,Rabi,21.5,180.0,60,28,45,6.4,Mustard
Dadra & Nagar Haveli and Daman & Diu,Zaid,28.5,95.0,70,32,52,6.6,Watermelon
Dadra & Nagar Haveli and Daman & Diu,Zaid,29.0,90.0,68,33,51,6.5,Muskmelon
Dadra & Nagar Haveli and Daman & Diu,Zaid,28.0,85.0,65,30,50,6.5,Cucumber
Dadra & Nagar Haveli and Daman & Diu,Zaid,29.5,93.0,72,34,54,6.6,Tomato
Delhi,Kharif,32.0,780.0,88,42,62,6.7,Maize
Delhi,Kharif,33.0,800.0,90,40,60,6.8,Rice
Delhi,Kharif,32.5,790.0,75,36,55,6.6,Cotton
Delhi,Rabi,22.0,190.0,80,35,55,6.5,Wheat
Delhi,Rabi,21.5,180.0,72,32,50,6.4,Barley
Delhi,Rabi,21.0,170.0,60,28,45,6.3,Mustard
Delhi,Rabi,22.5,175.0,65,30,48,6.4,Gram
Delhi,Zaid,28.5,95.0,70,32,52,6.6,Watermelon
Delhi,Zaid,29.0,90.0,68,33,51,6.5,Muskmelon
Delhi,Zaid,28.0,85.0,65,30,50,6.5,Cucumber
Delhi,Zaid,29.5,93.0,72,34,54,6.6,Tomato
Ladakh,Kharif,22.0,150.0,60,28,45,6.2,Barley
Ladakh,Kharif,23.0,160.0,85,38,58,6.3,Maize
Ladakh,Kharif,21.5,140.0,55,26,42,6.1,Peas
Ladakh,Kharif,20.0,130.0,90,40,60,6.3,Potato
Ladakh,Rabi,18.5,120.0,80,35,55,6.2,Wheat
Ladakh,Rabi,18.0,110.0,72,32,50,6.1,Barley
Ladakh,Rabi,17.5,100.0,60,28,45,6.0,Mustard
Ladakh,Rabi,19.0,115.0,65,30,48,6.1,Gram
Ladakh,Zaid,26.0,85.0,70,32,52,6.3,Watermelon
Ladakh,Zaid,26.5,80.0,68,33,51,6.2,Muskmelon
Ladakh,Zaid,25.5,75.0,65,30,50,6.2,Cucumber
Ladakh,Zaid,27.0,88.0,72,34,54,6.3,Tomato
Lakshadweep,Kharif,30.5,1600.0,40,20,50,5.5,Coconut
Lakshadweep,Kharif,31.0,1650.0,90,40,60,5.8,Rice
Lakshadweep,Kharif,30.0,1550.0,55,30,60,5.6,Banana
Lakshadweep,Rabi,28.5,180.0,35,18,48,5.5,Coconut
Lakshadweep,Rabi,28.0,170.0,85,38,58,5.8,Rice
Lakshadweep,Rabi,27.5,165.0,50,28,55,5.6,Banana
Lakshadweep,Zaid,29.0,95.0,70,32,52,5.8,Watermelon
Lakshadweep,Zaid,29.5,90.0,68,33,51,5.7,Muskmelon
Lakshadweep,Zaid,28.5,88.0,66,31,50,5.7,Cucumber
Lakshadweep,Zaid,29.5,93.0,72,34,54,5.8,Tomato
Puducherry,Kharif,32.0,780.0,90,40,60,6.8,Rice
Puducherry,Kharif,31.0,740.0,65,34,50,6.6,Groundnut
Puducherry,Kharif,32.5,790.0,75,36,55,6.6,Cotton
Puducherry,Rabi,28.5,180.0,85,38,58,6.6,Rice
Puducherry,Rabi,27.0,160.0,65,30,48,6.5,Gram
Puducherry,Rabi,28.0,170.0,60,28,45,6.5,Mustard
Puducherry,Zaid,29.0,95.0,70,32,52,6.6,Watermelon
Puducherry,Zaid,29.5,90.0,68,33,51,6.5,Muskmelon
Puducherry,Zaid,28.5,88.0,66,31,50,6.5,Cucumber
Puducherry,Zaid,29.5,93.0,72,34,54,6.6,Tomato
Andaman and Nicobar Islands,Kharif,30.5,2200.0,40,20,50,5.5,Coconut
Andaman and Nicobar Islands,Kharif,31.0,2250.0,90,40,60,5.8,Rice
Andaman and Nicobar Islands,Kharif,30.0,2150.0,55,30,60,5.6,Banana
Andaman and Nicobar Islands,Rabi,28.5,180.0,35,18,48,5.5,Coconut
Andaman and Nicobar Islands,Rabi,28.0,170.0,85,38,58,5.8,Rice
Andaman and Nicobar Islands,Rabi,27.5,165.0,50,28,55,5.6,Banana
Andaman and Nicobar Islands,Zaid,29.0,95.0,70,32,52,5.8,Watermelon
Andaman and Nicobar Islands,Zaid,29.5,90.0,68,33,51,5.7,Muskmelon
Andaman and Nicobar Islands,Zaid,28.5,88.0,66,31,50,5.7,Cucumber
Andaman and Nicobar Islands,Zaid,29.5,93.0,72,34,54,5.8,Tomato
Goa,Kharif,31.5,2630.0,90,40,60,6.5,Rice
Goa,Kharif,30.5,2500.0,65,34,50,6.4,Groundnut
Goa,Kharif,32.0,2700.0,75,36,55,6.6,Cotton
Goa,Kharif,30.0,2550.0,40,20,50,6.3,Coconut
Goa,Kharif,29.5,2400.0,35,18,48,6.2,Cashew
Goa,Rabi,28.5,180.0,85,38,58,6.6,Rice
Goa,Rabi,27.0,160.0,60,30,50,6.5,Groundnut
Goa,Rabi,28.0,170.0,72,32,50,6.5,Cotton
Goa,Rabi,27.5,165.0,35,18,48,6.4,Coconut
Goa,Zaid,29.0,95.0,70,32,52,6.6,Watermelon
Goa,Zaid,29.5,90.0,68,33,51,6.5,Muskmelon
Goa,Zaid,28.5,88.0,66,31,50,6.5,Cucumber
Goa,Zaid,29.5,93.0,72,34,54,6.6,Tomato
